time,PM2_5,PM10_0,CO,NO2,SO2,PM1_0,PM2_5_cal,PM10_0_cal,CO_cal,NO2_cal,SO2_cal,PM1_0_cal
2021-09-23,13.4,16.2,5.1124,-0.488,-0.2192,12.5,27.0,28.0,0.134,0.0,0.0,12.5
2021-09-23,13.4,16.2,5.1124,-0.488,-0.2192,12.5,37.0,44.0,0.314,0.0,0.004,12.5
2021-09-23,14.4,17.5,3.6153,0.0,0.0,13.2,27.0,28.0,0.134,0.0,0.0,13.2
2021-09-23,14.4,17.5,3.6153,0.0,0.0,13.2,37.0,44.0,0.314,0.0,0.004,13.2
2021-09-24,14.0,16.6,-3.0926,-0.2814,0.0957,13.1,47.0,56.0,3.344,0.148,0.01,13.1
2021-09-25,14.2,16.9,-0.2145,-0.4713,6.6909,13.0,4.0,4.0,0.018,0.0,0.002,13.0
2021-09-26,17.3,20.7,-1.2822,-0.5148,0.1475,16.1,45.0,56.0,0.08,0.0,0.001,16.1
2021-09-27,16.6,18.5,-195.3245,-0.4825,0.0587,15.7,29.0,32.0,0.135,0.0,0.001,15.7
2021-09-28,22.5,24.8,-0.5626,-0.5428,0.1183,21.3,54.0,66.0,0.468,0.0,0.003,21.3
2021-09-29,18.7,21.2,-2.5355,-0.4277,0.0653,17.6,51.0,64.0,0.202,0.0,0.001,17.6
2021-09-30,17.4,20.3,-238.0556,-0.4825,0.0404,16.5,45.0,56.0,0.177,0.0,0.0,16.5
2021-10-01,21.8,24.4,-242.6165,-0.4813,0.0495,20.9,40.0,49.0,0.161,0.0,0.002,20.9
2021-10-02,12.6,15.5,-3.5104,-0.4266,0.0444,11.8,38.0,45.0,0.142,0.0,0.003,11.8
2021-10-04,17.3,20.3,-2.7096,-0.5048,0.0734,16.0,46.0,56.0,0.032,0.0,0.0,16.0
2021-10-04,17.3,20.3,-2.7096,-0.5048,0.0734,16.0,50.0,62.0,0.243,0.0,0.002,16.0
2021-10-05,17.5,18.7,0.0873,-0.5428,0.1264,16.6,50.0,62.0,0.122,0.0,0.002,16.6
2021-10-06,12.6,15.1,-2.3382,-0.4568,0.0452,11.5,33.0,39.0,0.108,0.0,0.001,11.5
2021-10-07,25.6,28.7,1.0621,-0.4277,0.1591,24.3,106.0,113.0,0.659,0.0,0.003,24.3
2021-10-08,54.0,58.1,-272.5701,-0.4813,0.1591,51.3,96.0,100.0,0.347,0.0,0.005,51.3
2021-10-10,18.0,20.8,44.5476,-0.4556,0.0267,16.8,40.0,48.0,0.319,0.0,0.001,16.8
2021-10-10,18.0,20.8,44.5476,-0.4556,0.0267,16.8,21.0,22.0,0.039,0.0,0.0,16.8
2021-10-10,14.9,16.3,-2.0713,-0.4277,0.0046,14.1,40.0,48.0,0.319,0.0,0.001,14.1
2021-10-10,14.9,16.3,-2.0713,-0.4277,0.0046,14.1,21.0,22.0,0.039,0.0,0.0,14.1
2021-10-11,13.1,15.1,44.1878,-0.4556,0.0028,12.2,20.0,21.0,0.163,0.0,0.001,12.2
2021-10-12,11.7,13.3,-2.0249,-0.4981,0.5524,11.2,36.0,44.0,0.204,0.0,0.001,11.2
2021-10-13,13.9,17.2,-0.052,-0.4713,-0.0327,12.7,27.0,30.0,0.17,0.0,0.0,12.7
2021-10-14,14.7,16.3,-2.8141,-0.4288,0.0351,14.0,10.0,11.0,0.036,0.0,0.002,14.0
2021-10-15,11.4,14.6,-2.0597,-0.4266,0.0665,10.7,7.0,7.0,0.076,0.0,0.002,10.7
2021-10-17,12.8,13.5,-1.9321,-0.4277,0.0072,12.3,4.0,5.0,0.319,0.0,0.0,12.3
2021-10-17,12.8,13.5,-1.9321,-0.4277,0.0072,12.3,4.0,4.0,0.287,0.0,0.0,12.3
2021-10-18,10.4,12.3,-2.3731,-0.4992,0.5212,9.9,13.0,13.0,0.1,0.0,0.001,9.9
2021-10-19,11.5,13.4,1.3407,-0.4724,-0.0022,10.7,33.0,37.0,0.233,0.0,0.002,10.7
2021-10-20,14.4,15.6,-1.1893,-0.5048,0.1698,13.5,73.0,80.0,0.357,0.0,0.002,13.5
2021-10-21,18.5,20.4,-2.6632,-0.4277,0.0503,17.0,52.0,68.0,0.954,0.162,0.004,17.0
