time,PM2_5,PM10_0,CO,NO2,SO2,PM1_0,PM2_5_cal,PM10_0_cal,CO_cal,NO2_cal,SO2_cal,PM1_0_cal
2021-10-10 13:00:00,16.8,17.5,-2.9881,-0.4277,0.0219,15.9,27.0,28.0,0.207,0.0,0.001,15.9
2021-10-10 14:00:00,15.1,15.6,-2.9069,-0.4277,0.0201,14.2,13.0,16.0,0.219,0.0,0.0,14.2
2021-10-10 15:00:00,14.9,15.4,-2.0713,-0.4277,0.0155,14.0,12.0,12.0,0.22,0.0,0.002,14.0
2021-10-10 16:00:00,12.6,14.6,-4.1139,-0.4456,1.8654,12.0,11.0,12.0,0.244,0.0,0.0,12.0
2021-10-10 17:00:00,12.7,14.7,-4.1139,-0.4445,1.8352,12.0,12.0,12.0,0.318,0.0,0.002,12.0
2021-10-10 18:00:00,13.0,13.4,-2.6168,-0.4556,0.0046,12.5,8.0,9.0,0.321,0.0,0.002,12.5
2021-10-10 19:00:00,13.4,14.1,-2.0133,-0.4277,0.0112,12.7,4.0,4.0,0.243,0.0,0.001,12.7
2021-10-10 20:00:00,13.8,14.4,-2.0017,-0.4277,0.0026,13.2,9.0,9.0,0.228,0.0,0.001,13.2
2021-10-10 21:00:00,13.8,14.4,-2.0365,-0.4277,0.0125,13.2,7.0,7.0,0.219,0.0,0.002,13.2
2021-10-10 22:00:00,14.5,15.1,-1.9205,-0.4277,0.016,13.6,11.0,12.0,0.264,0.0,0.001,13.6
2021-10-10 23:00:00,13.2,14.6,44.1066,-0.4556,0.0051,12.4,5.0,5.0,0.182,0.0,0.001,12.4
2021-10-11 00:00:00,14.8,15.7,-2.1177,-0.4277,0.0074,13.9,11.0,12.0,0.192,0.0,0.001,13.9
2021-10-11 01:00:00,13.1,15.2,44.0254,-0.4556,-0.0137,12.2,9.0,9.0,0.165,0.0,0.001,12.2
2021-10-11 02:00:00,14.3,15.6,44.037,-0.4556,-0.0035,13.2,14.0,15.0,0.161,0.0,0.001,13.2
2021-10-11 03:00:00,16.7,18.1,-219.3361,-0.4825,-0.0045,15.8,31.0,35.0,0.177,0.0,0.001,15.8
2021-10-11 04:00:00,14.9,16.4,-217.4096,-0.4813,-0.0071,14.1,19.0,21.0,0.162,0.0,0.0,14.1
2021-10-11 05:00:00,18.1,19.1,-2.141,-0.4277,0.0059,17.1,32.0,34.0,0.198,0.0,0.001,17.1
2021-10-11 06:00:00,12.9,13.8,-2.0365,-0.4277,0.0064,12.1,2.0,2.0,0.224,0.0,0.001,12.1
2021-10-11 07:00:00,13.4,15.3,-2.1061,100.4204,-0.0208,12.6,10.0,11.0,0.435,0.0,0.001,12.6
2021-10-11 08:00:00,13.6,14.6,1.6888,-0.4724,-0.0187,12.6,8.0,8.0,0.59,0.0,0.001,12.6
2021-10-11 09:00:00,14.7,15.4,0.7488,-0.4724,-0.0299,13.9,17.0,17.0,0.523,0.0,0.002,13.9
2021-10-11 10:00:00,12.6,15.0,-3.1158,-0.5148,0.0406,11.9,10.0,12.0,0.457,0.0,0.0,11.9
2021-10-11 11:00:00,12.5,13.3,-2.0945,-0.4992,0.5514,12.0,10.0,12.0,0.506,0.0,0.001,12.0
2021-10-11 12:00:00,12.9,15.3,-3.1042,-0.516,0.046,11.8,12.0,14.0,0.463,0.0,0.002,11.8
2021-10-11 13:00:00,13.3,16.0,-3.023,-0.5148,0.0394,12.3,13.0,15.0,0.499,0.0,0.002,12.3
2021-10-11 14:00:00,12.7,13.3,-1.8972,-0.4568,0.0343,12.2,14.0,15.0,0.537,0.0,0.001,12.2
2021-10-11 15:00:00,12.8,15.3,-3.0114,-0.5137,0.0513,11.7,12.0,13.0,0.469,0.0,0.001,11.7
2021-10-11 16:00:00,12.0,14.7,0.0409,-0.44,0.2309,11.3,9.0,9.0,0.44,0.0,0.001,11.3
2021-10-11 17:00:00,12.6,13.2,-1.5723,-0.4568,0.0485,12.1,11.0,14.0,0.66,0.0,0.002,12.1
2021-10-11 18:00:00,15.3,15.1,-0.9688,-0.5428,0.051,14.5,8.0,9.0,1.055,0.0,0.005,14.5
2021-10-11 19:00:00,12.1,13.2,-1.4911,-0.4981,0.5603,11.7,9.0,10.0,0.707,0.0,0.003,11.7
2021-10-11 20:00:00,11.9,13.2,-1.8276,-0.4992,0.5638,11.4,13.0,14.0,0.523,0.0,0.002,11.4
2021-10-11 21:00:00,15.3,17.3,44.1298,-0.4556,0.0363,14.6,17.0,17.0,0.423,0.0,0.002,14.6
2021-10-11 22:00:00,14.1,16.0,43.7004,-0.4556,0.0061,13.2,14.0,15.0,0.281,0.0,0.002,13.2
2021-10-11 23:00:00,11.2,13.6,-2.4659,-0.4981,0.5397,10.6,16.0,16.0,0.218,0.0,0.0,10.6
2021-10-12 00:00:00,14.7,16.3,-2.9765,-0.5037,-0.0086,13.9,18.0,20.0,0.146,0.0,0.002,13.9
2021-10-12 01:00:00,14.7,17.0,-2.0597,-0.4724,-0.0591,13.6,22.0,24.0,0.125,0.0,0.001,13.6
2021-10-12 02:00:00,16.6,19.4,-215.2046,-0.4825,0.0074,15.4,31.0,37.0,0.204,0.0,0.0,15.4
2021-10-12 03:00:00,17.8,20.2,-215.0653,-0.4825,0.0041,17.0,36.0,45.0,0.235,0.0,0.0,17.0
2021-10-12 04:00:00,17.6,19.7,-1.375,-0.4713,-0.0568,16.3,33.0,40.0,0.193,0.0,0.001,16.3
2021-10-12 05:00:00,17.6,20.1,-210.3999,-0.4825,0.0064,16.8,36.0,44.0,0.263,0.0,0.0,16.8
2021-10-12 06:00:00,13.2,15.7,-2.9765,100.4137,-0.0482,12.2,32.0,37.0,0.259,0.0,0.0,12.2
2021-10-12 07:00:00,12.8,15.4,-1.375,-0.4825,0.0072,11.6,32.0,40.0,0.446,0.0,0.0,11.6
2021-10-12 08:00:00,12.4,15.1,-1.1429,-0.4825,0.0173,11.6,25.0,26.0,0.488,0.0,0.001,11.6
2021-10-12 09:00:00,12.8,15.8,-2.1177,-0.4266,0.0523,11.5,15.0,16.0,0.304,0.0,0.002,11.5
2021-10-12 10:00:00,11.0,13.7,-0.4698,100.4215,0.0483,10.3,21.0,22.0,0.403,0.0,0.002,10.3
2021-10-12 11:00:00,12.0,15.2,-2.5471,-0.4266,0.0419,11.0,19.0,19.0,0.345,0.0,0.002,11.0
2021-10-12 12:00:00,11.8,16.9,-3.3827,-0.5148,0.0254,10.5,18.0,19.0,0.313,0.0,0.001,10.5
2021-10-12 13:00:00,10.9,14.3,-2.9417,-0.4568,0.0105,10.1,11.0,11.0,0.113,0.0,0.001,10.1
2021-10-12 14:00:00,11.0,14.6,-2.6632,-0.4568,0.016,10.2,14.0,14.0,0.192,0.0,0.001,10.2
2021-10-12 15:00:00,11.0,14.6,-2.5007,-0.4556,0.0475,10.2,10.0,12.0,0.283,0.0,0.002,10.2
2021-10-12 16:00:00,10.2,15.9,-2.5239,-0.497,1.0865,9.2,13.0,13.0,0.237,0.0,0.001,9.2
2021-10-12 17:00:00,11.8,15.1,-1.8044,-0.44,0.1236,10.8,19.0,21.0,0.511,0.0,0.001,10.8
2021-10-12 18:00:00,12.0,14.9,2.6985,-0.4825,0.2553,10.9,17.0,20.0,0.968,0.0,0.006,10.9
2021-10-12 19:00:00,13.6,17.4,42.4006,-0.4556,0.0467,12.6,36.0,41.0,0.359,0.0,0.001,12.6
2021-10-12 20:00:00,12.9,16.2,42.4238,-0.4556,0.0307,11.8,39.0,45.0,0.307,0.0,0.001,11.8
2021-10-12 21:00:00,13.0,16.5,0.006,-0.4724,-0.0332,12.0,19.0,20.0,0.371,0.0,0.001,12.0
2021-10-12 22:00:00,12.0,15.5,42.2381,-0.4556,0.0158,11.2,15.0,16.0,0.179,0.0,0.0,11.2
2021-10-12 23:00:00,11.9,15.2,-1.5723,-0.4724,-0.0502,10.8,15.0,16.0,0.171,0.0,0.001,10.8
2021-10-13 00:00:00,13.0,16.4,-2.3034,-0.4713,-0.0631,12.1,17.0,18.0,0.104,0.0,0.001,12.1
2021-10-13 01:00:00,9.9,13.3,-2.5704,-0.4981,0.5628,9.2,26.0,29.0,0.165,0.0,0.001,9.2
2021-10-13 02:00:00,14.8,17.7,-2.8605,-0.4277,0.0282,13.8,27.0,28.0,0.176,0.0,0.001,13.8
2021-10-13 03:00:00,13.9,16.8,-2.9649,-0.4288,0.0259,13.1,24.0,27.0,0.143,0.0,0.002,13.1
2021-10-13 04:00:00,11.0,14.7,-3.2899,-0.4266,0.0358,10.2,26.0,29.0,0.175,0.0,0.001,10.2
2021-10-13 05:00:00,10.4,13.2,-2.4427,-0.4981,0.5653,9.8,28.0,30.0,0.245,0.0,0.002,9.8
2021-10-13 06:00:00,15.3,18.1,-220.0672,-0.4825,0.011,13.9,32.0,38.0,0.273,0.0,0.0,13.9
2021-10-13 07:00:00,12.5,15.4,-223.4212,-0.4836,0.0168,11.4,16.0,17.0,0.294,0.0,0.001,11.4
2021-10-13 08:00:00,12.5,15.6,-229.6417,-0.4825,0.0549,11.4,14.0,15.0,0.614,0.0,0.002,11.4
2021-10-13 09:00:00,12.9,15.4,-2.4659,-0.5417,-0.0015,12.2,5.0,6.0,0.324,0.0,0.001,12.2
2021-10-13 10:00:00,11.1,14.1,-2.2686,100.4081,0.0036,10.1,23.0,25.0,0.378,0.0,0.002,10.1
2021-10-13 11:00:00,13.7,16.1,-2.0945,-0.5417,0.0236,12.7,31.0,35.0,0.48,0.0,0.001,12.7
2021-10-13 12:00:00,11.0,14.4,-2.756,-0.5037,0.0485,10.0,8.0,8.0,0.323,0.0,0.002,10.0
2021-10-13 13:00:00,10.9,13.4,-2.8025,-0.4568,0.0211,10.2,8.0,9.0,0.286,0.0,0.002,10.2
2021-10-13 14:00:00,12.6,15.0,-2.4079,-0.5048,0.0597,11.8,14.0,17.0,0.556,0.0,0.001,11.8
2021-10-13 15:00:00,11.7,15.0,1.8861,-0.4411,0.2647,10.7,33.0,38.0,0.57,0.0,0.001,10.7
2021-10-13 16:00:00,20.6,21.4,-1.7812,-0.5405,0.034,19.5,33.0,38.0,0.667,0.0,0.002,19.5
2021-10-13 17:00:00,14.9,17.1,44.2923,-0.4556,0.0942,13.7,23.0,24.0,0.674,0.0,0.002,13.7
2021-10-13 18:00:00,22.2,22.5,-0.3885,-0.5417,0.1033,21.5,36.0,45.0,1.268,0.0,0.008,21.5
2021-10-13 19:00:00,17.6,17.7,-2.1177,-0.5417,0.0153,16.8,22.0,23.0,0.483,0.0,0.001,16.8
2021-10-13 20:00:00,13.6,15.6,-0.1332,-0.4724,-0.0202,12.7,24.0,26.0,0.325,0.0,0.002,12.7
2021-10-13 21:00:00,14.4,16.0,-2.8141,-0.4277,0.029,13.6,20.0,23.0,0.193,0.0,0.0,13.6
2021-10-13 22:00:00,14.6,16.4,-2.8721,-0.4288,0.031,13.9,18.0,21.0,0.158,0.0,0.0,13.9
