,_id,temperature,humidity,CO,CO2,NO2,O3,SO2,er_init_sensor,er_read_sensor,er_out_of_range,er_system,type,device_id,sampling_interval,PM2_5,PM10_0,time
0,6171d5abe66c30339e60b2ad,21.69,73.28,0.157,470.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,14.0,15.0,2021-10-21 21:03:36
1,617cc08020be12f18c847497,21.83,87.52,0.51,490.0,0.0,0.003,0.002,0,0,0,3072,envitus,70B3D509805D,60,10.0,10.0,2021-10-30 03:48:04
2,6156265d54811a2870fa468a,29.2,81.81,0.161,470.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,40.0,49.0,2021-09-30 21:04:26
3,6164a6da54811a2870188d63,24.01,79.19,0.204,489.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,36.0,44.0,2021-10-11 21:04:23
4,614b9a1cc8dd837bbb39d082,28.52,79.36,0.314,481.0,0.0,0.003,0.004,0,0,0,0,envitus,70B3D509805D,60,37.0,44.0,2021-09-22 21:03:21
5,617f04a620be12f18c8b59bc,21.96,89.63,0.246,503.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,22.0,23.0,2021-10-31 21:03:31
6,614d54fcc8dd837bbb3d3bdb,28.15,83.94,3.344,588.0,0.148,0.376,0.01,0,0,0,0,envitus,70B3D509805D,60,47.0,56.0,2021-09-24 04:32:57
7,6180561d20be12f18c8f1440,22.62,87.9,0.311,510.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,27.0,30.0,2021-11-01 21:03:22
8,6175ca1fe66c30339e71866b,21.97,78.37,0.384,486.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,79.0,85.0,2021-10-24 21:03:24
9,6152319a54811a2870e878cc,28.19,85.77,0.468,497.0,0.0,0.004,0.003,0,0,0,0,envitus,70B3D509805D,60,54.0,66.0,2021-09-27 21:03:19
