,_id,temperature,humidity,CO,CO2,NO2,O3,SO2,er_init_sensor,er_read_sensor,er_out_of_range,er_system,type,device_id,sampling_interval,PM2_5,PM10_0,time
0,617fae5c20be12f18c8d507b,23.75,84.1,0.849,502.0,0.0,0.003,0.004,0,0,0,0,envitus,70B3D509805D,60,23.0,24.0,2021-11-01 09:07:37
1,6180fff920be12f18c90ddc6,23.73,87.43,1.1,512.0,0.0,0.003,0.007,0,0,0,0,envitus,70B3D509805D,60,32.0,37.0,2021-11-02 09:08:06
2,61638e4054811a287014f1b3,24.17,92.05,0.59,500.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,8.0,8.0,2021-10-11 01:07:09
3,61689c0e54811a2870254efc,21.76,92.82,0.076,476.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,7.0,7.0,2021-10-14 21:07:23
4,617014aae66c30339e5b8951,28.25,78.0,0.426,462.0,0.0,0.003,0.003,0,0,0,0,envitus,70B3D509805D,60,36.0,43.0,2021-10-20 13:07:51
5,617cc51f20be12f18c84843a,21.82,87.85,0.519,489.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,10.0,12.0,2021-10-30 04:07:56
6,61836a7c20be12f18c94381f,31.93,61.77,0.19,441.0,0.0,0.001,0.0,0,0,0,0,envitus,70B3D509805D,60,27.0,30.0,2021-11-04 05:07:05
7,6164c3ae54811a287018e5aa,23.71,75.07,0.259,488.0,0.0,0.002,0.0,0,0,0,0,envitus,70B3D509805D,60,32.0,37.0,2021-10-11 23:07:22
8,6165b2ba54811a28701c17f3,25.21,63.86,0.171,463.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,15.0,16.0,2021-10-12 16:07:18
9,61738aade66c30339e678ff0,25.61,48.37,0.166,455.0,0.0,0.001,0.0,0,0,0,0,envitus,70B3D509805D,60,27.0,30.0,2021-10-23 04:08:10
10,6183beda20be12f18c94af09,29.63,68.7,1.075,450.0,0.0,0.002,0.005,0,0,0,0,envitus,70B3D509805D,60,44.0,55.0,2021-11-04 11:07:03
11,6184055d20be12f18c9586b8,26.05,82.07,0.297,472.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,51.0,65.0,2021-11-04 16:07:53
12,61817e5120be12f18c921f5e,22.57,87.46,0.264,517.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,16.0,16.0,2021-11-02 18:07:10
13,6164a7b954811a287018900c,23.89,79.11,0.193,494.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,33.0,40.0,2021-10-11 21:08:06
14,6170f595e66c30339e5e46b5,22.9,72.69,0.375,473.0,0.0,0.002,0.003,0,0,0,0,envitus,70B3D509805D,60,8.0,8.0,2021-10-21 05:07:21
15,61753e99e66c30339e6f236b,25.3,59.22,0.929,448.0,0.0,0.002,0.003,0,0,0,0,envitus,70B3D509805D,60,42.0,51.0,2021-10-24 11:08:06
