,_id,device_id,latitude,longitude,type,SO2,CO,NO2,PM1_0,PM2_5,PM10_0,temperature,humidity,per_bat,free_sd,cnt_err_wifi,cnt_err_lte,cnt_err_sd,cnt_packet,time,AQI
0,619f98532f51bb1682071a1b,fimi_23,21.005694450000004,105.84380555000001,fimi,0.2264,-2.8257,-0.5048,24.6,26.0,30.3,27.4,52.4,32.53,15398144,62320,1579,0,,2021-11-25 21:06:06,
1,619dba32c5f50654155607cf,fimi_25,21.005794799999997,105.84427903333332,fimi,-0.0071,-3.6845,-0.516,9.9,11.1,16.8,26.7,42.0,82.33,15338592,57123,1348,162371,,2021-11-24 11:06:06,
2,61ad1bb2ebbcef4cfbd615c9,fimi_27,21.005790499999996,105.84429408333332,fimi,0.1003,-1.5027,-0.4288,21.1,22.1,26.1,22.7,52.3,36.41,15391648,3267,35,0,,2021-12-06 03:06:07,71.58120105047868
3,616bd9729d4daad11f43c78d,fimi_14,21.0058045,105.84429028333334,fimi,-0.0202,-2.4543,-0.5417,12.2,12.8,14.6,26.5,66.1,81.23,0,128956,20178,386870,,2021-10-17 15:06:07,
4,616282d254811a2870122a4d,fimi_27,21.005694450000004,105.84380555000001,fimi,0.0219,-2.9881,-0.4277,15.9,16.8,17.5,27.6,73.3,31.74,15481824,87983,14191,0,,2021-10-10 13:06:06,
5,618315e320be12f18c941381,fimi_25,21.005788799999998,105.84428356666668,fimi,0.0368,-3.3363,-0.5148,18.4,20.1,23.2,29.2,59.1,85.36,15345088,29637,2132,3646,,2021-11-04 06:06:08,
6,6164d17154811a2870190fd6,fimi_24,21.015203616666668,105.83812756666666,fimi,0.0072,-1.375,-0.4825,11.6,12.8,15.4,29.0,61.5,27.64,15428416,9586,108,0,9587,2021-10-12 07:06:06,
7,61978522851c61bb89b9fd67,fimi_30,21.005822516666665,105.84433236666668,fimi,0.0883,-0.8876,-0.4277,24.2,26.0,28.3,27.7,63.8,46.93,15337376,877,1,0,,2021-11-19 18:06:06,
8,6164c36154811a287018e4b8,fimi_13,21.015142349999998,105.83819826666668,fimi,-0.0482,-2.9765,100.4137,12.2,13.2,15.7,28.8,62.4,81.52,15405376,9344,105,0,,2021-10-12 06:06:06,
9,6175301be66c30339e6ee3d1,fimi_7,21.015210000000003,105.83813053333333,fimi,0.1868,-2.7096,-0.4758,9.7,10.7,13.7,27.8,59.9,82.66,15435712,1667,13,0,,2021-10-24 17:06:06,
10,6170cb11e66c30339e5d95e1,fimi_20,21.005784583333334,105.84427884999998,fimi,0.0358,-254.0363,-0.478,10.5,11.5,14.8,30.0,58.0,82.48,15392544,16936,688,0,,2021-10-21 09:06:06,
11,619d81f11f98cbe15f7340e2,fimi_1,21.005815050000002,105.84430201666667,fimi,0.0036,41.7159,-0.4556,10.8,11.9,15.8,24.4,52.8,84.29,15320928,52094,1397,0,,2021-11-24 07:06:06,
12,6170bd02e66c30339e5d6c34,fimi_20,21.00578225,105.84427786666666,fimi,0.0952,-268.369,-0.4836,19.5,20.6,23.2,31.8,62.9,81.95,15392640,16696,685,0,,2021-10-21 08:06:06,
13,6163b83454811a287015705b,fimi_4,21.005694450000004,105.84380555000001,fimi,0.5514,-2.0945,-0.4992,12.0,12.5,13.3,27.0,73.5,81.06,15414784,25679,5869,0,,2021-10-11 11:06:06,
14,616be7839d4daad11f43ee06,fimi_6,21.005807433333334,105.8442666,fimi,0.0526,-1.7348,-0.4568,9.9,10.4,12.7,25.8,64.1,42.88,15393696,68453,12159,0,,2021-10-17 16:06:07,
15,61a281a6a515430fcc136c2e,fimi_15,21.005694450000004,105.84380555000001,fimi,0.0221,-1.7928,-0.4802,23.8,25.0,29.0,26.5,54.5,85.91,15411360,124842,8460,0,,2021-11-28 02:06:06,
16,6197933250e986239be914a1,fimi_25,21.005694450000004,105.84380555000001,fimi,0.0675,-2.756,-0.5148,24.0,25.7,29.8,28.6,54.3,87.25,15339072,30268,1119,85639,,2021-11-19 19:06:06,
17,619bdc112dcbcc8d0aa8106a,fimi_14,21.005751416666666,105.84428553333333,fimi,-0.0596,-3.1042,-0.5405,10.8,11.6,14.7,23.6,58.7,82.62,0,1237,12,3713,,2021-11-23 01:06:06,
18,61858eb320be12f18c9a7b22,fimi_29,21.005803399999998,105.84429873333332,fimi,0.0173,-3.139,-0.5048,18.6,19.5,19.8,28.8,76.7,27.99,15382176,66,0,0,,2021-11-06 03:06:06,
19,6198d6a15d2493cc8868b1d4,fimi_1,21.0058191,105.84428871666665,fimi,0.0691,44.095,-0.4556,16.5,17.7,20.6,31.4,61.2,85.2,15328352,31704,1173,0,,2021-11-20 18:06:06,
20,617432f1e66c30339e6a8afe,fimi_7,21.005694450000004,105.84380555000001,fimi,0.3408,1.1782,-0.4769,10.7,11.6,14.3,27.6,61.1,82.54,15437216,139,4,0,,2021-10-23 23:06:06,
21,619ce74456b65ecd6688dd9f,fimi_15,21.005694450000004,105.84380555000001,fimi,0.0033,-2.199,-0.4802,16.5,17.5,21.6,25.7,52.4,83.43,15420288,100367,8386,0,,2021-11-23 20:06:06,
22,61ad45e2ebbcef4cfbd68976,fimi_25,21.005786333333337,105.8443009,fimi,0.2108,-2.3847,-0.5148,9.9,11.1,17.0,22.0,40.7,85.19,15338496,20603,202,61625,,2021-12-06 06:06:06,46.25
23,61a26586a515430fcc12c750,fimi_15,21.005694450000004,105.84380555000001,fimi,0.049,-1.4446,-0.4802,28.6,30.0,34.2,26.9,54.3,86.41,15411520,124362,8460,0,,2021-11-28 00:06:06,
