petID,name,gender,petType,petDOB,petColor,petFavorite,petProperty,petSpecies,petDescription
113022aa-2a3d-5852-e199-4d3edfe18939,Dario,1,sparrow,2018-05-23,Yellow,Fat,Big,,In error perspiciatis. Nisi consectetur enim. Suscipit et quas! Suscipit obcaecati eveniet? Natus est eligendi. Nihil amet consectetur. Iste blanditiis!
1137f3f8-5156-31f2-9629-0204eeb736fa,Darnell,0,clam,2015-07-19,Green,,"Ferocious, Small",,Non aut et. Ut minima a ab facilis. Officia soluta eveniet voluptate et! Quia voluptas sunt sequi.
115e6162-2887-7636-5a01-2997b7e81c24,Alaina,1,catfish,2021-02-23,,"Ferocious, Beautiful",,"Beaudoin53, Janie1988, Pierre5",Consequuntur incidunt perspiciatis. Provident qui dolores. Esse soluta explicabo! Vel eius laborum. Omnis nostrum consequatur! Ut dolorem sit. Eum iste natus.
116a251e-1dec-7e16-1c01-2997b7e81c24,Tinsley,1,honeybee,2017-10-19,,Beautiful,Thin,"Alexandra878, Idell913",Accusamus quia labore. Vel dolor et. Fugiat maxime ipsa. Deserunt quis ut. Laboriosam sed impedit. Vel sit id. Sunt assumenda in. Ducimus error minus!
11990fe6-20d8-459e-12e5-cbefc3792353,Werner,1,tortoise,2016-12-28,Black,Cute,,"Ona1987, Arron2000",Quasi provident consequatur; delectus asperiores mollitia; impedit saepe nam? Et nostrum inventore. Porro voluptas culpa. Distinctio quo quibusdam. Laborum a.
11c2ed81-7c9e-40a3-a775-2a7ae1c799c8,Monty,0,chicken,2017-03-11,White,Thin,"Thin, Small","Abby1960, Mcgrath1977",Dolores dolore molestias; ut quidem temporibus; nulla asperiores eum. Nulla voluptatem illo. Sit quia ipsa. Debitis harum cupiditate! Vel aut numquam.
120b17ba-701d-515b-5229-0204eeb736fa,Ike,0,housefly,2021-06-24,Green,Small,Small,"Adalberto2000, Vince55",Suscipit rerum repudiandae. Eos sit aperiam aliquam excepturi! Quo dolores ex nostrum sint. Aut temporibus debitis neque qui temporibus culpa?
120d8718-692d-7ba1-f8b5-aae5d250830a,Arlen,0,elephant,2021-09-24,,,"Thin, Thin",,Est culpa perferendis molestias maiores tempore minus.
120ec8fa-6c14-6fec-5c01-2997b7e81c24,Emilio,0,herring,2019-11-10,Green,"Cute, Small","Beautiful, Ferocious",,Voluptatem exercitationem voluptatibus. Sapiente sunt soluta consequatur quas. Omnis sapiente error. Eaque et fugit. Maiores voluptatem omnis optio.
124ffdb9-1385-5045-85de-835209209de0,Ada,1,chub,2019-07-06,,Cute,Cute,Luis5,Perspiciatis facere minima sed rem minima saepe. Dolorem voluptates maiores et error! Possimus quaerat ea maxime et temporibus laudantium.
